Date,Customer Descriptive Name,Campaign,Ad group,Ad ID,Device,Impressions,Clicks,Cost,Conversions,Conversion value,Final URL
2025-07-01,ACME Inc.,Brand_JP_Search,Core,ad_XAJI,Tablet,16595,794,113128.45,18,180000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-01,ACME Inc.,Brand_JP_Search,RLSA,ad_D0TV,Desktop,7065,91,4379.99,3,30000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-01,ACME Inc.,Brand_JP_Search,DSA,ad_BHSA,Desktop,2485,21,2962.68,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-01,ACME Inc.,Prospecting_Display,Core,ad_ZZPQ,Mobile,6111,303,38313.57,7,21000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-01,ACME Inc.,Prospecting_Display,RLSA,ad_3A3Z,Mobile,9466,312,18573.09,4,40000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-01,ACME Inc.,Prospecting_Display,DSA,ad_KH1D,Mobile,989,10,1265.74,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-01,Beta Shop,Brand_JP_Search,Core,ad_D4V3,Tablet,12194,535,72355.03,9,49500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-01,Beta Shop,Brand_JP_Search,RLSA,ad_QE7C,Mobile,11427,542,64422.31,8,44000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-01,Beta Shop,Brand_JP_Search,DSA,ad_3W5U,Tablet,3412,55,4055.9,1,3000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-01,Beta Shop,Prospecting_Display,Core,ad_CX19,Desktop,17959,135,22586.16,2,11000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-01,Beta Shop,Prospecting_Display,RLSA,ad_5NQ4,Desktop,1821,53,6176.59,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-01,Beta Shop,Prospecting_Display,DSA,ad_NHJ7,Tablet,7673,198,18873.56,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-02,ACME Inc.,Brand_JP_Search,Core,ad_CWTI,Mobile,12334,122,8227.39,1,3000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-02,ACME Inc.,Brand_JP_Search,RLSA,ad_N9XU,Tablet,9329,278,33956.36,9,27000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-02,ACME Inc.,Brand_JP_Search,DSA,ad_L1C3,Mobile,8008,152,9596.88,1,3000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-02,ACME Inc.,Prospecting_Display,Core,ad_OC6U,Tablet,2827,53,2224.47,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
